UUID ,Item No_,Code,Description,Description 2,Exclude from Consignment,Status,Strategy,Last Date Modified,Commisionable,Webstock Category
71af19dc-cad0-11e7-b927-0401beb96201,DEFIC,2016,De Wetshof Finesse Chardonnay 2016,DEFIC-2015,0,2,,00:00.0,0,
71af1e3c-cad0-11e7-b927-0401beb96201,KCSAB,2015,Klein Constantia Sauvignon Blanc 2015,KCSAB-2014,0,2,,00:00.0,0,
71af2062-cad0-11e7-b927-0401beb96201,KFPEC,2016,Ken Forrester Petit Chenin 2016,KFPEC-2015,0,2,,00:00.0,0,
71af22a6-cad0-11e7-b927-0401beb96201,KFSAB,2016,Ken Forrester Reserve Sauvignon Blanc 2016,KFSAB-2015,0,2,,00:00.0,0,
71af24a4-cad0-11e7-b927-0401beb96201,KFSPH,2015,Ken Forrester Sparklehorse,KFSPH-2015,0,0,,00:00.0,0,
71af268e-cad0-11e7-b927-0401beb96201,LLCHP,2016,Leopards Leap Chardonnay Pinot Noir 2016,LLCHP-2015,0,1,,00:00.0,0,
71af2864-cad0-11e7-b927-0401beb96201,LLSCHPIN,NV,Leopard's Leap Sparkling Chardonnay Pinot Noir,LLSCHPIN-NV,0,0,,00:00.0,0,
71af2a3a-cad0-11e7-b927-0401beb96201,LMSAB,2016,La Motte Sauvignon Blanc 2016,LMSAB-2015,0,2,,00:00.0,0,
71af2c06-cad0-11e7-b927-0401beb96201,RVCAS,2014,Rust en Vrede Estate Vineyards Cabernet Sauv 2014,RVCAS-2013,0,2,,00:00.0,0,
71af2de6-cad0-11e7-b927-0401beb96201,RVME,2014,Rust en Vrede Estate Vineyards Merlot 2014,RVME-2013,0,2,,00:00.0,0,
71af2fbc-cad0-11e7-b927-0401beb96201,SIKAVDS,2015,Simonsig Kaapse Vonkel Demi Sec,SIKAVDS-2015,0,0,,00:00.0,0,
