UUID	Entry No_	Description	Created Date-Time	Released	Released Date-Time	Posted	Posted Date-Time	Document Type	Document No_	Status	Document Created By	Order No_	Responsibility Center
d3f183dc-cb7f-11e7-ac7b-0401beb96201	1789	Order Liquor City Hillfox 	49:00.0	0	36:00.0	1	36:16.9	6	PSI246242	3	GROUPMERIDIAN\SARAH		GAUTENG
d3f18a08-cb7f-11e7-ac7b-0401beb96201	1788	FW  Purchase Order PO-0477 from Urbanologi (Pty) L	44:00.0	0	1753-01-01 00:00:00.000	0	1753-01-01 00:00:00.000	6	SO278823	0	GROUPMERIDIAN\GABRIELLE		GAUTENG
d3f18c38-cb7f-11e7-ac7b-0401beb96201	1787	Komati liquor order 	36:00.0	0	31:00.0	1	30:44.5	6	PSI245588	3	GROUPMERIDIAN\GABRIELLE		NELSPRUIT
d3f18e2c-cb7f-11e7-ac7b-0401beb96201	1783	Order for Tops Retail Crossing SPA1 21589	15:00.0	0	37:00.0	1	37:22.0	6	PSI246244	3	GROUPMERIDIAN\SARAH		GAUTENG
d3f18ff8-cb7f-11e7-ac7b-0401beb96201	1784	The Local Kitchen co Order	15:00.0	0	18:00.0	1	17:35.5	6	PSI244974	3	GROUPMERIDIAN\SINEAD		GAUTENG
d3f191ce-cb7f-11e7-ac7b-0401beb96201	1785	ORDER FOR OVE018	15:00.0	0	33:00.0	1	23:05.2	6	PSI244947	3	GROUPMERIDIAN\GABRIELLE		GAUTENG
d3f1939a-cb7f-11e7-ac7b-0401beb96201	1786	steves spar blackheath	15:00.0	0	17:00.0	1	17:00.6	6	PSI245792	3	GROUPMERIDIAN\SINEAD		GAUTENG
d3f19566-cb7f-11e7-ac7b-0401beb96201	1781	Order	21:00.0	0	34:00.0	0	1753-01-01 00:00:00.000	6	SO278768	0	GROUPMERIDIAN\THASHIE		GAUTENG
d3f19732-cb7f-11e7-ac7b-0401beb96201	1782	ORDER OLD STONE BOTTLE STORE OLD011	21:00.0	0	13:00.0	1	13:35.8	6	PSI244930	3	GROUPMERIDIAN\SINEAD		GAUTENG
d3f198fe-cb7f-11e7-ac7b-0401beb96201	1777	Order	20:00.0	0	44:00.0	1	43:56.0	6	PSI246253	3	GROUPMERIDIAN\SARAH		GAUTENG
d3f19aca-cb7f-11e7-ac7b-0401beb96201	1778	Fwd  old stone liquor store - clarens	20:00.0	0	22:00.0	1	12:38.1	6	PSI244928	3	GROUPMERIDIAN\SARAH		GAUTENG
d3f19c96-cb7f-11e7-ac7b-0401beb96201	1780	RE  Order	20:00.0	0	02:00.0	1	02:08.3	6	PSI246220	3	GROUPMERIDIAN\SIBYL		GAUTENG
d3f19e58-cb7f-11e7-ac7b-0401beb96201	1776	Order Tops Langenhoven SPA121608	37:00.0	0	40:00.0	1	38:47.6	6	PSI244794	3	GROUPMERIDIAN\ROXANNE		GAUTENG
d3f1a074-cb7f-11e7-ac7b-0401beb96201	1771	Komati liquors add on	12:00.0	0	34:00.0	1	54:39.2	6	PSI244798	3	GROUPMERIDIAN\ROXANNE		NELSPRUIT
